"",N1,N2,N3,N4,N5,N6,N7,N8,N9,M1,M2,M3
48,0.0871,0.0441,5.494899064,4.857506931,10.01619353,0.185718882,17.6001,13.2001,0.515034637,RAISE,LOWER,RAISE
49,0.0861,0.0451,6.289050417,4.521294462,10.01619353,0.226243591,18.0001,13.5001,0.548601527,RAISE,LOWER,RAISE
50,0.0851,0.0461,6.315917534,3.727143109,10.01619353,0.278196896,18.4001,13.8001,0.627888269,RAISE,LOWER,RAISE
51,0.0841,0.0471,6.947862727,3.700275992,10.01619353,0.338914678,18.8001,14.1001,0.630570637,RAISE,LOWER,RAISE
52,0.0831,0.0481,7.445500308,3.068330798,10.01619353,0.375532136,19.2001,14.4001,0.693662988,RAISE,LOWER,RAISE
53,0.0821,0.0491,8.223562208,2.570693218,10.01619353,0.485312751,19.6001,14.7001,0.743346291,RAISE,LOWER,RAISE
54,0.0811,0.0501,8.431016606,1.792631317,10.01619353,0.639793356,20.0001,15.0001,0.821026689,RAISE,LOWER,RAISE
55,0.0801,0.0511,8.450216476,1.585176919,10.01619353,0.940630293,20.4001,15.3001,0.841738589,RAISE,LOWER,RAISE
56,0.0791,0.0521,9.320475112,1.565977049,10.01619353,1.066154367,20.8001,15.6001,0.843655472,RAISE,LOWER,RAISE
57,0.0781,0.0531,8.597485863,0.695718414,10.01619353,1.190371866,21.2001,15.9001,0.930540638,RAISE,LOWER,RAISE
58,0.0771,0.0541,9.173204165,1.418707663,10.01619353,2.471541845,21.6001,16.2001,0.858358601,RAISE,HOLD,RAISE
59,0.0771,0.0551,0.479410523,0.84298936,10.01619353,1.293177503,22.0001,16.5001,0.915837353,RAISE,HOLD,RAISE
60,0.0771,0.0561,1.452474549,9.536783002,10.01619353,0.113740587,22.4001,16.8001,0.047863544,RAISE,HOLD,RAISE
61,0.0771,0.0571,1.757376201,8.563718977,10.01619353,0.030460472,22.8001,17.1001,0.145012628,RAISE,HOLD,RAISE
62,0.0771,0.0581,2.047085452,8.258817324,10.01619353,0.04104236,23.2001,17.4001,0.175453499,RAISE,HOLD,RAISE
63,0.0771,0.0591,2.665043127,7.969108074,10.01619353,0.049573332,23.6001,17.7001,0.204377586,RAISE,HOLD,RAISE
64,0.0771,0.0601,3.641364405,7.351150399,10.01619353,0.066884351,24.0001,18.0001,0.266073446,RAISE,HOLD,RAISE
65,0.0771,0.0611,4.119692179,6.37482912,10.01619353,0.09906924,24.4001,18.3001,0.363547729,RAISE,RAISE,RAISE
66,0.0971,0.0621,4.413709468,5.896501347,10.01619353,0.129248709,24.8001,18.6001,0.411303173,RAISE,RAISE,RAISE
67,0.1171,0.0631,5.224611323,5.602484057,10.01619353,0.149706045,25.2001,18.9001,0.440657367,RAISE,LOWER,RAISE
68,0.1161,0.0641,5.62276096,4.791582202,10.01619353,0.186510529,25.6001,19.2001,0.521616451,RAISE,LOWER,RAISE
69,0.1151,0.0651,6.564312429,4.393432565,10.01619353,0.23469329,26.0001,19.5001,0.561367045,RAISE,LOWER,RAISE
70,0.1141,0.0661,7.083867754,3.451881096,10.01619353,0.298823862,26.4001,19.8001,0.655369968,RAISE,LOWER,RAISE
71,0.1131,0.0671,7.452966313,2.932325771,10.01619353,0.410435212,26.8001,20.1001,0.707241502,RAISE,LOWER,RAISE
72,0.1121,0.0681,8.399069173,2.563227212,10.01619353,0.508331399,27.2001,20.4001,0.744091685,RAISE,LOWER,RAISE
